score_type,distance_bin,distance_min,distance_max,pair_count,metric,count,pearson,spearman
geometric_direction,9,0.32916553207501154,81.25613969714364,128000,feature_cosine,128000,0.015074746683239937,0.048493940402990855
geometric_direction,9,0.32916553207501154,81.25613969714364,128000,feature_l2,128000,-0.00025449192617088556,0.019068144909491123
geometric_direction,9,0.32916553207501154,81.25613969714364,128000,scaling_l2,128000,-0.08132977038621902,-0.2771062852242392
geometric_direction,9,0.32916553207501154,81.25613969714364,128000,offset_l2,128000,-0.021823327988386154,-0.12787791207235802
geometric_image,0,0.004999637603759766,0.05873670041940201,127983,feature_cosine,127983,0.14125831425189972,0.14911250156938827
geometric_image,0,0.004999637603759766,0.05873670041940201,127983,feature_l2,127983,-0.11989960819482803,-0.12910221814266387
geometric_image,0,0.004999637603759766,0.05873670041940201,127983,scaling_l2,127983,0.021682802587747574,-0.008579759667808808
geometric_image,0,0.004999637603759766,0.05873670041940201,127983,offset_l2,127983,-0.06467866897583008,-0.06445580428228447
geometric_image,1,0.05873670041940201,0.08411306654257075,128012,feature_cosine,128012,0.06174932420253754,0.05751716846892393
geometric_image,1,0.05873670041940201,0.08411306654257075,128012,feature_l2,128012,-0.04681539535522461,-0.04588653372089432
geometric_image,1,0.05873670041940201,0.08411306654257075,128012,scaling_l2,128012,0.07881785929203033,0.0899861169755589
geometric_image,1,0.05873670041940201,0.08411306654257075,128012,offset_l2,128012,-0.03955281898379326,-0.046820867781951464
geometric_image,2,0.08411306654257075,0.10511898202323604,128000,feature_cosine,128000,0.04044807329773903,0.03646086911553561
geometric_image,2,0.08411306654257075,0.10511898202323604,128000,feature_l2,128000,-0.016733724623918533,-0.015191234350534558
geometric_image,2,0.08411306654257075,0.10511898202323604,128000,scaling_l2,128000,0.08391112089157104,0.09074137504512896
geometric_image,2,0.08411306654257075,0.10511898202323604,128000,offset_l2,128000,-0.04159088805317879,-0.04934857410637948
geometric_image,3,0.10511898202323604,0.12359204024692351,128005,feature_cosine,128005,0.03138143569231033,0.025992365098411963
geometric_image,3,0.10511898202323604,0.12359204024692351,128005,feature_l2,128005,-0.00852546002715826,-0.004874417046813049
geometric_image,3,0.10511898202323604,0.12359204024692351,128005,scaling_l2,128005,0.07018887996673584,0.06519794323667229
geometric_image,3,0.10511898202323604,0.12359204024692351,128005,offset_l2,128005,-0.037104904651641846,-0.04508585527087456
geometric_image,4,0.12359204024692351,0.14326579947729962,128000,feature_cosine,128000,0.0028027440421283245,-0.003989513674059918
geometric_image,4,0.12359204024692351,0.14326579947729962,128000,feature_l2,128000,0.032128117978572845,0.03846724799089259
geometric_image,4,0.12359204024692351,0.14326579947729962,128000,scaling_l2,128000,0.04545130208134651,0.018730781970574668
geometric_image,4,0.12359204024692351,0.14326579947729962,128000,offset_l2,128000,-0.03374573960900307,-0.03977185666590137
geometric_image,5,0.14326579947729962,0.1661324443943163,127999,feature_cosine,127999,-0.0036516431719064713,-0.008348342226418979
geometric_image,5,0.14326579947729962,0.1661324443943163,127999,feature_l2,127999,0.03994816541671753,0.04320973457525625
geometric_image,5,0.14326579947729962,0.1661324443943163,127999,scaling_l2,127999,0.0561637356877327,0.02773911168714695
geometric_image,5,0.14326579947729962,0.1661324443943163,127999,offset_l2,127999,-0.02622196078300476,-0.029522065174057154
geometric_image,6,0.1661324443943163,0.19532020276720455,128001,feature_cosine,128001,-0.009447546675801277,-0.010480638137739211
geometric_image,6,0.1661324443943163,0.19532020276720455,128001,feature_l2,128001,0.035037167370319366,0.03664086062653093
geometric_image,6,0.1661324443943163,0.19532020276720455,128001,scaling_l2,128001,0.07063115388154984,0.05391060478199803
geometric_image,6,0.1661324443943163,0.19532020276720455,128001,offset_l2,128001,-0.018625106662511826,-0.022412370004578887
geometric_image,7,0.19532020276720455,0.23764478055770272,128000,feature_cosine,128000,-0.02317027375102043,-0.022373915166992202
geometric_image,7,0.19532020276720455,0.23764478055770272,128000,feature_l2,128000,0.03840251639485359,0.03898554642792446
geometric_image,7,0.19532020276720455,0.23764478055770272,128000,scaling_l2,128000,0.07810214161872864,0.0656123112579209
geometric_image,7,0.19532020276720455,0.23764478055770272,128000,offset_l2,128000,-0.0007729632779955864,-0.009265577459777193
geometric_image,8,0.23764478055770272,0.32916553207501154,128000,feature_cosine,128000,-0.023922782391309738,-0.016380007265624948
geometric_image,8,0.23764478055770272,0.32916553207501154,128000,feature_l2,128000,-0.024492930620908737,-0.018537997544076028
geometric_image,8,0.23764478055770272,0.32916553207501154,128000,scaling_l2,128000,0.04316912963986397,0.011717673275905454
geometric_image,8,0.23764478055770272,0.32916553207501154,128000,offset_l2,128000,0.015038160607218742,0.0057924204267887575
